,0
NC_045512.2,-0.03415913780475351
KY770860.1,-0.03560133575818218
DQ412042.1,-0.03229501222783955
DQ412043.1,-0.03952816493542356
DQ648856.1,-0.010519423492411742
KP886808.1,-0.05614867414864615
MK211374.1,-0.06047757484063986
AY686864.1,0.0700061605108852
AY572035.1,0.05396147283922568
AY572038.1,0.0793120033349318
AY686863.1,0.12002990110400343
AY572034.1,0.09773830283463733
NC_004718.3,0.12744110300462977
KF367457.1,0.0913639193629841
MK211378.1,0.032250756018865824
KY417143.1,-0.028873894591422533
KT444582.1,-0.027091714326308806
KY417147.1,-0.019663089724981344
KY770858.1,-0.05548265099875493
KY417148.1,0.02183757509212222
MK211375.1,0.05679739230443612
MK211376.1,-0.010777039285339006
MK211377.1,0.009549564587586854
KY417146.1,-0.002653544181947932
KY417144.1,0.03460137574795922
KY417149.1,0.04731160388992898
KY417145.1,-0.020538081436979307
KY417142.1,0.03182499500732173
KY417151.1,0.03530123106274195
KY417152.1,0.04083326786880312
KU973692.1,-0.05482557683127987
DQ071615.1,-5.103944863207122e-07
JX993988.1,-0.05834463119978905
KF569996.1,-0.11324162002893817
GQ153547.1,-0.0019733585471121504
DQ022305.2,-0.059967142710659144
GQ153542.1,0.0003568692189991508
KJ473814.1,-0.06412715066136751
JX993987.1,-0.04070420308128707
MT040336.1,-0.01804813214643075
MT040334.1,0.0427203828479447
MT040335.1,-0.02900980335756234
MT040333.1,-0.07281529703593
MT072864.1,-0.01635117959781315
MG772934.1,-0.09183439612362373
MG772933.1,0.033795693697170545
MN996532.1,0.029652592605795898
