,0
NC_045512.2,0.0027303125288100976
KY770860.1,-0.03444404969491991
DQ412042.1,-0.03346682605998723
DQ412043.1,-0.06068704444793153
DQ648856.1,-0.043411911126228726
KP886808.1,-0.01589046782648397
MK211374.1,-0.06348564572221782
AY686864.1,0.06262659446956075
AY572035.1,0.06525949241230004
AY572038.1,0.06286934561297941
AY686863.1,0.06581290573582996
AY572034.1,0.055649896417682705
NC_004718.3,0.07462166903197863
KF367457.1,0.044057590039277686
MK211378.1,0.01623736842463742
KY417143.1,0.018151829944843125
KT444582.1,0.024619342666587364
KY417147.1,0.0162964798427076
KY770858.1,-0.04484164030851724
KY417148.1,0.014810143104267029
MK211375.1,-0.001203577333832913
MK211376.1,0.05582988867429674
MK211377.1,0.05018527945055389
KY417144.1,0.04829176313699939
KY417149.1,0.03907241695048812
KY417151.1,0.055568520430016276
KY417142.1,0.054046754762964166
KY417145.1,-0.0060223159555051085
KY417146.1,-0.002616888958258091
KY417152.1,0.05603534085935526
KU973692.1,-0.06691342722363375
DQ071615.1,-0.034603160295404625
JX993988.1,-0.1032397103367307
KF569996.1,-0.0747955323993955
GQ153547.1,-0.040216464811701436
DQ022305.2,-0.03652829401724033
GQ153542.1,-0.03706383155836348
KJ473814.1,-0.0753667766923102
JX993987.1,-0.07022455379425382
MT040336.1,0.001291607114918538
MT040335.1,0.0031936800972983408
MT040334.1,-0.0036050217280066956
MT040333.1,-0.006025409635121539
MT072864.1,0.005644893294559726
MG772934.1,-0.018290909003813118
MG772933.1,-0.013846090604203266
MN996532.1,-0.005606870928544346
