,0
NC_045512.2,-0.032470637759405466
KY770860.1,-0.04525802246722311
DQ412042.1,-0.05410895426704346
DQ412043.1,-0.0015632264944155428
DQ648856.1,-0.035818389555524514
KP886808.1,-0.04977481147847627
MK211374.1,-0.08382163704389982
AY686864.1,0.08533978148614682
AY572035.1,0.060877638267600634
AY572038.1,0.06901779185615596
AY686863.1,0.1137097647480004
AY572034.1,0.09802591648852982
NC_004718.3,0.11005697402605452
KF367457.1,0.0675583502636867
MK211378.1,0.06578358337226022
KY417143.1,-0.03752942936206211
KT444582.1,-0.02613465082576837
KY417147.1,-0.008055868178976055
KY770858.1,-0.0427706442930931
KY417148.1,0.00701875469458139
MK211375.1,0.07208742664788424
MK211376.1,-0.011380080435033607
MK211377.1,0.017299686897130823
KY417144.1,0.05248479095001378
KY417149.1,0.036560806609779437
KY417151.1,0.07160598547744748
KY417142.1,0.029316262347613236
KY417145.1,-0.03377128797971334
KY417146.1,-0.015652035907811276
KY417152.1,0.04245407600120704
KU973692.1,-0.046417136115198654
DQ071615.1,0.03313925130573194
JX993988.1,-0.055649661765605964
KF569996.1,-0.11111278693581364
GQ153547.1,-0.014741215229026581
DQ022305.2,-0.06881555938686681
GQ153542.1,0.011769471737800248
KJ473814.1,-0.07185849793278953
JX993987.1,-0.051951669250298475
MT040336.1,-0.03793818196151988
MT040335.1,0.018145457225256907
MT040334.1,-0.027258805868207708
MT040333.1,-0.0805115736145718
MT072864.1,-0.012133849165685625
MG772934.1,-0.08722702846722574
MG772933.1,0.03708498035481246
MN996532.1,0.04411380845842321
